review_id,product_id,category,category_label,rating,text,pros,cons,date
12,4,electronics,Электроника,5,"Лучшая покупка за последний год. Брал на смену старым AirPods. По качеству звука они обходят многие модели дороже 20 тысяч рублей. Настроил звучание под себя через фирменное приложение — эквалайзер очень гибкий. Микрофон тоже порадовал, собеседники слышат меня четко даже на ветру. Однозначно рекомендую к покупке!",,,2026-07-19
13,4,electronics,Электроника,3,Ставлю 3 звёзды так как один товар пришёл бракованный,,Заказывал 2 пары одна пара пришла с дефектом так как работает только один наушник а в другом нету звука а вторая пара пришла целая,2026-07-06
14,4,electronics,Электроника,2,"Я забрал наушники нетпроверяв их, и там был на правом наушнике был не припаян проводок и звука не было. Пришлось самому паять этот провод.",Звук,Был оторван провод на наушнике и не было звука,2026-07-04
15,5,electronics,Электроника,5,,"Внешний вид хороший, и качество звука также очень хорошее. Самое главное, что есть также защитная крышка и сменная крышка для наушников.",,2026-05-12
16,5,electronics,Электроника,5,,"Упакован товар в коробку. Соответствует карточке товара. Звук хороший, быстрое подключение и пришли заряжены на 100%. В комплекте провод зярдный, сменные амбушюры разных размеров, что позволит вам подобрать подходящий для вас вариант.",,2026-05-09
17,5,electronics,Электроника,5,"наушники рекомендую, пришло быстро, без задержек, товар стоит своих денег","хорошая упаковка + чехол в подарок, хороший звук за свою цену, на айфоне определяется как airpods pro и проигрываются анимации",все в порядке,2026-05-09
18,5,electronics,Электроника,5,Давно искал что то похожее и наконец то нашел,Неплохое звучание и хороший дизайн ещё в комплекте идёт чехол под них что является ещё одним плюсом,,2026-05-07
19,5,electronics,Электроника,5,Мне нравятся эти наушники. Я куплю еще один для своего друга.,"Качество звука очень хорошее, и связь по Bluetooth также очень быстрая!",Ничего нету.,2026-05-03
20,5,electronics,Электроника,5,- ANC-шумоподавление (блокирует внешние шумы) ​ - Чистый звук с басами и объемным звучанием ​ - Долгая работа: до 24 часов с кейсом ​ - Удобные в носке и легкие ​ - Быстрое Bluetooth-соединение без задержек ​ - Защита от влаги/пота ​ - Сенсорное управление,,,2026-05-03
21,5,electronics,Электроника,5,"Сколько держит заряд на деле не проверяла, но пришли они заряжены на 100%. В комплекте чехол, зарядный провод на Type-C=Type-C, так же амбушюры 4 размеров (3 на вкладыше 1 на самих наушниках)","Наушники пришли быстро. Комплектация соответствует карточке. Звук хороший, подключение выполнено за пару секунд, быстро. Звук хороший.",,2026-05-02
22,5,electronics,Электроника,5,"Наушники мгновенно подключаются к моему телефону, качество звука отличное, в комплекте даже есть запасные амбушюры, а в салоне — защитный чехол. Мне они очень нравятся.","Наушники мгновенно подключаются к моему телефону, качество звука отличное, в комплекте даже есть запасные амбушюры, а в салоне — защитный чехол. Мне они очень нравятся.","Наушники мгновенно подключаются к моему телефону, качество звука отличное, в комплекте даже есть запасные амбушюры, а в салоне — защитный чехол. Мне они очень нравятся.",2026-04-30
23,6,electronics,Электроника,5,"Наушники супер 👍. Все как в карточке, звук, время прослушивания удобство, качество. Один минус зарядка не работает. Шнур норм, а сама зарядка нет. Все остальное на пять с плюсом",,,2026-07-24
24,6,electronics,Электроника,5,"Сначала после того как подключил наушники звук мне не понравился, сильно басил и был какой то глухой. Написал продавцу и он помог мне все настроить, теперь всё работает прекрасно!! Звук довольно хороший, мне понравились!",,,2026-07-23
25,6,electronics,Электроника,1,"Недобросовестный продавец! Наушники пришли с браком, перепутан правый и левый наушник, звук будто в банке. Кормила бессмысленными ответами, тянула до конца 5-го дня и не одобряла возврат. В итоге его отклонила. Продает китайские наушники за 200р с *** здесь за 1000. Подумайте прежде, чем заказывать, есть другие аналоги за эти же деньги и намного лучшего качества.",,,2026-07-22
26,6,electronics,Электроника,4,Очень хорошие наушники которые подходят мне. У них компактный размер и мои наушники спасает чехол (чехол весь в песке) но единственный минус: что с шансом 50 на 50 при открывании может проиграть звук также при закрывании кейса а иногда звука просто нет ещё радует что оригинал,,,2026-07-21
27,6,electronics,Электроника,5,подключился анимация на айфон есть но звук отвратный слушать не возможно как будто купил пищалки для ушей,,звук отвратительный басса вообще нету не советую,2026-07-20
28,7,electronics,Электроника,5,Да вроде все),"За свою цену хорошие наушники, звук хороший, басы присутствуют, есть анимация как в оригинале, а также имеется поиск наушников по локатору","На чехле где разъем предназначен на лайтнинг, так что не подходит под тайпси, не работает провод для зарядки наушников, блок работает",2026-07-24
29,7,electronics,Электроника,1,"Отвратительные наушники, походил с ними 10 дней решил поменять капелки резиновые, на втором наушнике пока снимал, он просто расклеился и оторвались все провода, вообще никому не советую их брать",,,2026-07-24
30,7,electronics,Электроника,5,"Звук нравится, басистый! Только вот при разговоре слышно плохо и мне и тому, с кем разговариваю. Может это как то можно исправить? В остальном все супер!! Ставлю 5 звезд.",,,2026-07-23
31,7,electronics,Электроника,5,"Очень замечательный продавец, решил проблему и заменил все!!! Рекомендую, всякое бывает, но редко встретишь таких честных и порядочных продавцов ❤️",,,2026-07-22
32,7,electronics,Электроника,5,"Заказываю эти наушники уже второй раз себе и родственникам и очень сильно доволен ими, очень хороший микрофон и наушники в ушах просто идеально сидят! Отдельное спасибо тех.поддержке за помощь в настройке",,,2026-07-22
33,7,electronics,Электроника,5,"Все , отлично пришло в полном комплекте все нравится, но быстро садится сам корпус , и шумоизоляция плохая а так все круто .",,,2026-07-20
34,8,electronics,Электроника,5,"За свою цену просто 🔥 Заряд держат очень долго, даже при отрицательных температурах, бегал в них два зимних полумарафона и несколько раз длительные тренировки, до 4 часов. Качество звука отличается, конечно от Apple, но к нему привыкаешь, зато ценник почти в 20 раз ниже.",,,2026-07-24
35,8,electronics,Электроника,5,"Наушники сами по себе отличные, мечта просто. Заказывала до этого их же. спустя полгода левый наушник стал работать очень очень тихо. Громкость на полную - еле слышно.а с правым все нормально. И в настройках шарилась, и чистила их, все равно так же. Вот, заказала новые. За такие деньги, я считаю, то, что наушник один перестал работать - логично. В общем, замечательные наушники, как по мне",,,2026-07-23
36,8,electronics,Электроника,5,"беру наушники только у этого продавца, покупаю их часто, потомучто постоянно где то забываю или теряю)","оболденные наушники, беру не первый раз, звук идеален, удобны в носке, заряда хватает надолго. с момента покупки прошло около 3-4 дней, наушники досих пор держат заряд!",,2026-07-23
37,8,electronics,Электроника,5,"Все нормально и сопряжение с телефоном, и качество звука. Чехол правда непонятный (силикон черный и в сумке собирает пыль всю, а почистить только мытьём...и индикатор не виден я правда продыроколила место где светится🤭, но с заглушкой разъёма для подзарядного).",,,2026-07-22
38,9,electronics,Электроника,5,За свою истинную цену только SBC/ААС. Но я со скидкой покупал поэтому не жалуюсь. Было бы круто если LDAC или LHDC поддерживал.,Ну ушах держится отлично. ANC и Transparency работают нормально. Инструкция хорошо все обьясняет.,,2026-07-17
39,9,electronics,Электроника,5,Наушники приятно удивили за такую стоимость Сразу к плюсам +рабочие шумо подавление (что практически не встречается в таком сегменте) +хорошее звучание и какой не какой HI-FI звук что прекрасно +сильные магниты в кейсе +сетка динамика выглядит довольно не плохо Из минусов отмечу самый обычный пластики в качестве материала но за данную цену простительно,,,2026-07-08
40,9,electronics,Электроника,5,,"Звук отличный, зарядка в комплекте, заряд держит долго, понятное меню, кнопка невидимая, лучше бы отдельно вынести, лишние случайные движения сбивают программу, а так отличные наушники!)",,2026-06-05
41,9,electronics,Электроника,5,,"Первое впечатление отличное! Недорогие но достойные и внешне и качество, пока нет претензий, пользуюсь уже несколько дней. Пришли в красивой коробке, все хорошо аккуратно упаковано, инструкция, шнур для зарядки. И удобные в носке! Ребенок теперь просит такие же)))",,2026-05-30
42,9,electronics,Электроника,5,"Прекрасные наушники, брали двое - белые и черные нам с парнем! Выглядят стильно, звук хороший, держат долго зарядку , мы довольны)","Качество звука, стиль, доставка",нет,2026-05-29
43,9,electronics,Электроника,5,,"Пользуюсь каждый день с удовольствием,на работе ,дома ,на прогулке .Жизнь не представляю без нааушников 😅Подключениие быстрое.Микрофон отличный ,собеседник слышит хорошо.Очень хорошие наушники ,стильно выглядят 🩷Хорошо упакованы 👌",,2026-05-28
44,9,electronics,Электроника,5,"Я, хронический меломан. Никуда без музыки. За двести рублей, продать такое качество. 👍👍👍Спасибо продавцу!!!",Упаковка. Внешний вид. Качество звука.,👍👍👍,2026-05-27
45,9,electronics,Электроника,5,"Взяла мужу такие же наушники как и себе. Стильно выглядят, вполне отлично на подарок. Звук хороший, и в ухе сидят комфортно, не жмут и не натирают👌🏼","Стильные, качественные",Нет,2026-05-27
46,10,electronics,Электроника,5,"Очень хорошие наушники, долго держат заряд, при этом быстро заряжаются, качество звука на высоте. За такие деньги прям больше, чем идеально",,,2026-07-24
47,10,electronics,Электроника,5,"Всё работает, звук норм. Я не эксперт, для просмотра фильмов или музыки по вечерам, чтоб не мешать остальным членам семьи, вполне подходит. Спасибо",,,2026-07-24
48,10,electronics,Электроника,5,"Кайф, правда при первом подключении звука не было, но подключилась снова и все супер, прошла неделя, может чуть больше, до сих пор кейс держит заряд. Советую купить чехол на них, немного поцарапались",,,2026-07-23
49,10,electronics,Электроника,5,"Пойдет, за эти деньги, правда много чего не хватает, например индикатор на кейсе,всегда горит белым, заряжается, сел, или,,,, всё равно белый",,,2026-07-23
50,10,electronics,Электроника,1,"Наушники проработали до первой разрядки. Правый наушник не заряжается, телефон его не видит. В карточке товара написано, что гарантия год. Жду ответа от продавца .",,,2026-07-22
51,10,electronics,Электроника,1,"Возврат не одобрили! Очень удобно таким образом распихивать бракованный товар, зарабатывать на доверии людей к ТМ. ОТВРАТИТЕЛЬНЫЙ ПРОДАВЕЦ, НЕ ДОБРОСОВЕСТНЫЙ, НЕ РЕКОМЕНДУЮ",,,2026-07-21
52,10,electronics,Электроника,1,"Все было хорошо 5 дней, использовались наушники ежедневно часа по 2, когда стали садиться перестали подключаться совсем, к тому же звук при просмотре видео стал останавливаться каждые 2 минуты, пока не перемотаешь видео, либо не уберешь наушник из уха и снова оденешь. После зарядки наушники подключились к телефону, но при просмотре видео или даже прослушивании музыки звук отключался как и ранее, даже чаще, примерно через минуту. Отправлю запрос на возврат!!!",,,2026-07-19
53,11,electronics,Электроника,5,,"Наушники хорошие но есть один минус когда на них осталось 20 процентов они начинают пищать раз в минуту, я сегодня заснула в наушнике и она начал пищать я так испугалась, я потом треслас где-то 10 минут, а так наушники хорошие",,2026-07-22
54,12,electronics,Электроника,5,"Наушники хорошие, звук громкий, зарядка одного наушника держится примерно часа 2-3 но я потом меняю на другой. Ставлю 5 звезд ведь за свои деньги они очень даже хороши",,,2026-07-21
55,12,electronics,Электроника,5,"За 235 рублей ваще крутые ушки! Неожиданно!!! Рекомендую, не пожалеете! Звук громкий, зарядка быстрая, внешний вид, как у моей дочери за 1600, не отличить, только полегче, значит аккумулятор меньше в объёме, я долго не пользуюсь, так что лично для меня идеальный вариант",,,2026-07-19
56,12,electronics,Электроника,4,Пока что всё нормально но звук у наушников так себе он громкий да но звучит как будто из банки. Но в принципе за свою цену нормально очень лёгкий и удобный конечно жаль что омбюшур в комплекте нет но да ладно,,,2026-07-18
57,12,electronics,Электроника,1,"Наушники, просто ужасные не удобные, но это ужас один наушник вообще не работает, решили посмотреть проблему, провода вообще не соединены, это как так-то? Второй наушник просто плохо работает, только в мусорку",,,2026-07-15
58,12,electronics,Электроника,1,"Наушники ужасного качества, звук слишком громкий и дешёвый, как будто сижу в проводных наушниках за 50р,они также быстро разряжаются, хватает максимум на час их",,,2026-07-15
59,13,electronics,Электроника,4,"Пришло но без обещанного провода Type-C, из ушей могут выпасть если двигать лицом а так нормально сидят сняла звезду только из-за того что провода не было",,,2026-07-24
60,13,electronics,Электроника,5,"На постоянку использую хорошие наушники большие, но иногда их неудобно с собой брать, а эти как запасные","За свою цену отличные наушники. Разговариваю по ним, собеседник отлично слышит. Подойдут для людей, которые не часто их используют или постоянно теряют","Для меня лично не самый чистый звук, но в целом норм",2026-07-24
61,13,electronics,Электроника,5,"Раньше покупала подобные наушники но там и звук, и микро были хуже, а у этих наушников все прекрасно, особенно за такую цену, советую",,,2026-07-23
62,13,electronics,Электроника,5,"Наушники хорошие, подключились быстро, держатся в ухе хорошо не выпадают, но с подарком, проблема, пришел кабель не длиной 1м type-c type-c, как заявлено, а всего 20см usb type-c",,,2026-07-23
63,13,electronics,Электроника,5,внешний вид хороший наушников прямо под оригинал сделано звучание очень чёткое подключается очень быстро мне как бы очень понравилось быстро я подключение звучание и как бы чистота вообще звука и громко вот реально громко как бы вообще суперские за такую-то сумму вообще за копейки получается наушники хорошие,,,2026-07-23
64,13,electronics,Электроника,1,"Вроде заряжают, подумала что приехали нормальные но в итоге нечего не подключаются, их даже нет при подключении и нечего не написано",,,2026-07-23
65,14,electronics,Электроника,5,"Хороший звук, не выпадают из уха это очень важно, комфорт в ношении заказывала сыну заказала себе радиус использования не большой зарядку держат хорошо на неделю хватает",,,2026-07-24
66,14,electronics,Электроника,4,Если вы хотите идеальный звук и аирподцы до берите,"Выглядит прям как оригинал, звучание музыки идеальное, все функции работают.","Немного задержали,чехол пришел грязным и с заусенцами и крышка чуть чуть скрепит",2026-07-22
67,14,electronics,Электроника,1,"спустя время просто не производит звук, проверял на нескольких устройствах, заряжаются подключаются но просто звука нет на них, в воду не падал",,,2026-07-21
68,15,electronics,Электроника,3,"Зарядил наушники один раз поработали минут 20 и все, заряжаю следующие разы вообще не включаю не подключаются не понятные какие то наушники честно",,,2026-07-19
69,15,electronics,Электроника,2,"вообщем, не советую",,"у одного наушника звук хуже чем у другого( звук разный), плохо подключаются, верхняя крышка кейса плохо магнитится к нижней, так же наушники, плохо магнитятся внутри кейса. еще есть ощущение что левый наушник сидит слабее чем правый. так еще и разряжаются быстро, и кейс тоже.",2026-05-09
70,15,electronics,Электроника,1,"Не ведитесь не дешевею цену , покупайте у проверенных продавцов Карма она есть в место 400 руб 400 к потеряешь поверь моим словам","Не включается, пытался зарядить с разными проводами Продавец просто отклоняет заявку на возврат НЕ РЕКОМЕНДУЮ ПРОДАВЦА",ОБМАН,2026-07-18
71,15,electronics,Электроника,2,"ожидала хорошие наушники, оказалось, что один наушник подключается под одним названием в блютузе, а второй под другим. Очень неудобно, а так звук хороший",,,2026-07-23
72,15,electronics,Электроника,5,"Проблема была решена, продавец быстро вышел на связь и предложил полный возврат средств. Спасибо за отзывчивость и готовность идти навстречу покупателю.",,,2026-07-23
73,16,electronics,Электроника,5,"Отличные наушники! Покупала в подарок, но имениннику не понравился дизайн. Написала продавцу с просьбой вернуть товар. Продавец оперативно ответил на мои сообщения и вошел в мое положение, быстро рассмотрел заявку на возврат и решил вопрос положительно! Огромное спасибо за понимание, очень приятна такая забота о клиентах. Рекомендую всем этого продавца 💯",,,2026-07-19
74,16,electronics,Электроника,5,"Первые впечатления отличные 👍 упаковка, инструкция на русском, комплектация - все в порядке. Подключились сразу. Звук нравится. В ушах держится хорошо.",,,2026-07-16
75,16,electronics,Электроника,4,"Получила наушники, при первом подключении они подключились к телефону, но один наушник не работал. Зарядила наушники в итоге даже к телефону не подключались. Потом отменила сопряжение, перезагрузила телефон и заново подключила их и вуаля они заработали. Отправила фото гарантийного талона",,,2026-07-09
76,16,electronics,Электроника,4,"может есть какое нибудь приложение, что бы проверять процент заряда?","очень неплохие наушники за свою стоимость. хороший звук, но не слишком глубокий. подключаются к телефону даже если просто открыть крышку кейса.","слабые магниты в крышке, хотя держится нормально. очень чувствительные датчики касания на самом наушнике. поправляешь и оно нажимается сразу. не видно процент зарядки наушника и кейса. (при подключении на айфон. как на андройд не знаю)",2026-07-07
77,16,electronics,Электроника,3,"Вызывают недоумение комментарии продавца. Ну скажите вы чтобы проверяли снята ли пленка защитная с наушников, зачем отправлять на диагностику платную и отфутболивать шаблонными ответами? Только благодаря отзыву к товару одного из покупателей поняла в чем проблема. Наушники рабочие, посмотрю как покажут себя.",,,2026-07-05
78,16,electronics,Электроника,1,,,"Наушники пришли нерабочие, отстояли пол дня на зарядке, лампочка горит, но как отключаешь от сети, все, мертвые. Продавец в возврате отказал, отправив на самостоятельную диагностику, разочарование и досада лишь от покупки!",2026-07-03
79,17,electronics,Электроника,4,"Кейс хилинкий для наушников ну и наушники тоже чуть чуть хлипенькие , звук в наушниках глуховат чуть чуть, но потом привыкаешь и вполне нормально, но за свою цену это просто идеально поэтому советую к покупке .🥰",,,2026-07-23
80,17,electronics,Электроника,4,"Получил товар в помятом виде но не критично, скорее всего это оплошность самой службы вайлберес. Качество звука могло быть и лучшее вполне все устраевает, теперь буду ждать насколько он хватит.",,,2026-07-20
81,17,electronics,Электроника,5,"На самом деле наушники за свою цену просто афигеные! Думала опять брак, тк не горела красный когда заряжался, но звук просто бомба❤️ спасибо продавцу за реально качественный товар",,,2026-07-20
82,18,electronics,Электроника,3,"1.Из ушей постоянно выпадают. Не то, что для спорта, даже просто по квартире в них ходить не очень. 2.Постоянно! отключаются. Приходится каждый раз самостоятельно ""конектить"" 3.Звук... И так было понятно, что можно ожидать за такую цену...? Итог: за стоимость -5. За качество ( особенно удобство) -1. Общая- тут простая математика... Лучше не экономить и взять другие.",,,2026-07-23
83,18,electronics,Электроника,5,,"несмотря на цену, наушники очень даже порадовали! жалко не было зарядки в комплекте. у наушников хороший звук, заряжаются быстро, разряжаются медленно. в общем, всем советую!",,2026-07-19
84,18,electronics,Электроника,3,"наушники более менее, за такую цену, звук хороший НО очень хотелось бы спросить, почему наушники подключаются отдельно? играет либо один, либо другой, в зависимости от того какой подключится",,,2026-07-19
85,19,electronics,Электроника,5,"Отличные наушники, качество звука бомба, шумодав работает. Чехол оставляет желать лучшего, когда на стройке он забивается пылью, то верхня часть начинает произвольно отлепляться от кейса наушников.",,,2026-07-24
86,19,electronics,Электроника,5,"Наушники отличные! Звук хороший, всё подключилось с первого раза Очень удобно, что в комплекте бесплатно идет чехол для кейса и кабель.",,,2026-07-22
87,19,electronics,Электроника,5,"Отличные наушники! Ничем не отличить от оригинала. Анимация присутствует при сопряжении с телефоном. Звук отличный. Спасибо огромное продавцу, положил в подарок чехол для кейса☺️",,,2026-07-24
88,19,electronics,Электроника,5,"хороший звук, внешне очень похожи на оригинал. раньше были аирподс про 2, для меня были неудобными, а в этих комфортно себя чувствую.",,,2026-07-24
89,19,electronics,Электроника,5,"все хорошо когда забрала сначала не работал один наушник, но я в настройках накрутила и все стало хорошо работать, звук чистый, чехол и зарядка в наборе, за свои деньги нормально.",,,2026-07-24
90,19,electronics,Электроника,5,,"Быстрая доставка. Брала на подарок. На первый взгляд понравились, в подарок чехол и провод. Выглядят качественно. Но вчера при подключении появились хрипы, была памятка от продавца, вроде получилось исправить, но сегодня снова хрипы, треск на бассах. Подскажите, как исправить?",,2026-07-23
91,19,electronics,Электроника,5,"Хорошие наушники! Люблю аирподсы такой формы, для меня как нестареющая классика) звук хороший, на ухо не давят, шумопоглащение вполне нормальное, я довольна) и чехол в подарок, приятно))",,,2026-07-23
92,19,electronics,Электроника,5,"Наушники очень нравятся. Не хочу заносить эплу 20к за то, что они додумались сделать наушники без амбушюр (терпеть их не могу) и вот этот товар прям спасение. Шумодав хороший, на зеленой ветке в мск работает крайне здорово. Единственное что силиконовый чехол в подарок немного слазит при открытии кейса, но я хочу купить плотный кейс, да и + это защитка в подарок, так что вообще нет жалоб. По управлению наушниками тоже все супер, помимо шумодава исправно работает переключение трека и изменение громкости (была приятно удивлена, думала такое только на прошках)",,,2026-07-22
93,20,electronics,Электроника,5,"Вау! Очень приятная неожиданность за такие деньги:) Конечно, прежде чем заказывать, смотрел диапазон частот 20 - 20000...Ну что сказать: крутяк! Громкость, частоты (басы)... Всё на высоте. Единственное, что в упаковке пришёл кабель Type-C - Type-C, причём хороший. Но он мне ни к чему:))",,,2026-07-24
94,20,electronics,Электроника,5,"Эти наушники — моё лучшее приобретение за последнее время! Звук невероятно чистый, объемный и с классными басами. Они очень удобно сидят в ушах, не выпадают при движении, а заряда хватает на несколько дней использования. Шумоподавление отлично спасает от внешнего шума в людных местах. Они моментально подключаются к телефону, а встроенный микрофон идеально передает голос при звонках. Также очень порадовал их стильный дизайн и компактный кейс, который легко помещается в любой карман. Однозначно рекомендую к покупке",,,2026-07-24
