full_text,sentiment
"беру наушники только у этого продавца, покупаю их часто, потомучто постоянно где то забываю или теряю) оболденные наушники, беру не первый раз, звук идеален, удобны в носке, заряда хватает надолго. с момента покупки прошло около 3-4 дней, наушники досих пор держат заряд!",positive
"Все нормально и сопряжение с телефоном, и качество звука. Чехол правда непонятный (силикон черный и в сумке собирает пыль всю, а почистить только мытьём...и индикатор не виден я правда продыроколила место где светится🤭, но с заглушкой разъёма для подзарядного).",positive
За свою истинную цену только SBC/ААС. Но я со скидкой покупал поэтому не жалуюсь. Было бы круто если LDAC или LHDC поддерживал. Ну ушах держится отлично. ANC и Transparency работают нормально. Инструкция хорошо все обьясняет.,positive
Наушники приятно удивили за такую стоимость Сразу к плюсам +рабочие шумо подавление (что практически не встречается в таком сегменте) +хорошее звучание и какой не какой HI-FI звук что прекрасно +сильные магниты в кейсе +сетка динамика выглядит довольно не плохо Из минусов отмечу самый обычный пластики в качестве материала но за данную цену простительно,positive
"Звук отличный, зарядка в комплекте, заряд держит долго, понятное меню, кнопка невидимая, лучше бы отдельно вынести, лишние случайные движения сбивают программу, а так отличные наушники!)",positive
"Первое впечатление отличное! Недорогие но достойные и внешне и качество, пока нет претензий, пользуюсь уже несколько дней. Пришли в красивой коробке, все хорошо аккуратно упаковано, инструкция, шнур для зарядки. И удобные в носке! Ребенок теперь просит такие же)))",positive
"Прекрасные наушники, брали двое - белые и черные нам с парнем! Выглядят стильно, звук хороший, держат долго зарядку , мы довольны) Качество звука, стиль, доставка нет",positive
"Пользуюсь каждый день с удовольствием,на работе ,дома ,на прогулке .Жизнь не представляю без нааушников 😅Подключениие быстрое.Микрофон отличный ,собеседник слышит хорошо.Очень хорошие наушники ,стильно выглядят 🩷Хорошо упакованы 👌",positive
"Я, хронический меломан. Никуда без музыки. За двести рублей, продать такое качество. 👍👍👍Спасибо продавцу!!! Упаковка. Внешний вид. Качество звука. 👍👍👍",positive
"Взяла мужу такие же наушники как и себе. Стильно выглядят, вполне отлично на подарок. Звук хороший, и в ухе сидят комфортно, не жмут и не натирают👌🏼 Стильные, качественные Нет",positive
"Очень хорошие наушники, долго держат заряд, при этом быстро заряжаются, качество звука на высоте. За такие деньги прям больше, чем идеально",positive
"Всё работает, звук норм. Я не эксперт, для просмотра фильмов или музыки по вечерам, чтоб не мешать остальным членам семьи, вполне подходит. Спасибо",positive
"Кайф, правда при первом подключении звука не было, но подключилась снова и все супер, прошла неделя, может чуть больше, до сих пор кейс держит заряд. Советую купить чехол на них, немного поцарапались",positive
"Пойдет, за эти деньги, правда много чего не хватает, например индикатор на кейсе,всегда горит белым, заряжается, сел, или,,,, всё равно белый",positive
"Наушники проработали до первой разрядки. Правый наушник не заряжается, телефон его не видит. В карточке товара написано, что гарантия год. Жду ответа от продавца .",negative
"Возврат не одобрили! Очень удобно таким образом распихивать бракованный товар, зарабатывать на доверии людей к ТМ. ОТВРАТИТЕЛЬНЫЙ ПРОДАВЕЦ, НЕ ДОБРОСОВЕСТНЫЙ, НЕ РЕКОМЕНДУЮ",negative
"Все было хорошо 5 дней, использовались наушники ежедневно часа по 2, когда стали садиться перестали подключаться совсем, к тому же звук при просмотре видео стал останавливаться каждые 2 минуты, пока не перемотаешь видео, либо не уберешь наушник из уха и снова оденешь. После зарядки наушники подключились к телефону, но при просмотре видео или даже прослушивании музыки звук отключался как и ранее, даже чаще, примерно через минуту. Отправлю запрос на возврат!!!",negative
"Наушники хорошие но есть один минус когда на них осталось 20 процентов они начинают пищать раз в минуту, я сегодня заснула в наушнике и она начал пищать я так испугалась, я потом треслас где-то 10 минут, а так наушники хорошие",positive
"Наушники хорошие, звук громкий, зарядка одного наушника держится примерно часа 2-3 но я потом меняю на другой. Ставлю 5 звезд ведь за свои деньги они очень даже хороши",positive
"За 235 рублей ваще крутые ушки! Неожиданно!!! Рекомендую, не пожалеете! Звук громкий, зарядка быстрая, внешний вид, как у моей дочери за 1600, не отличить, только полегче, значит аккумулятор меньше в объёме, я долго не пользуюсь, так что лично для меня идеальный вариант",positive
Пока что всё нормально но звук у наушников так себе он громкий да но звучит как будто из банки. Но в принципе за свою цену нормально очень лёгкий и удобный конечно жаль что омбюшур в комплекте нет но да ладно,positive
"Наушники, просто ужасные не удобные, но это ужас один наушник вообще не работает, решили посмотреть проблему, провода вообще не соединены, это как так-то? Второй наушник просто плохо работает, только в мусорку",negative
"Наушники ужасного качества, звук слишком громкий и дешёвый, как будто сижу в проводных наушниках за 50р,они также быстро разряжаются, хватает максимум на час их",negative
"Пришло но без обещанного провода Type-C, из ушей могут выпасть если двигать лицом а так нормально сидят сняла звезду только из-за того что провода не было",positive
"На постоянку использую хорошие наушники большие, но иногда их неудобно с собой брать, а эти как запасные За свою цену отличные наушники. Разговариваю по ним, собеседник отлично слышит. Подойдут для людей, которые не часто их используют или постоянно теряют Для меня лично не самый чистый звук, но в целом норм",positive
"Раньше покупала подобные наушники но там и звук, и микро были хуже, а у этих наушников все прекрасно, особенно за такую цену, советую",positive
"Наушники хорошие, подключились быстро, держатся в ухе хорошо не выпадают, но с подарком, проблема, пришел кабель не длиной 1м type-c type-c, как заявлено, а всего 20см usb type-c",positive
внешний вид хороший наушников прямо под оригинал сделано звучание очень чёткое подключается очень быстро мне как бы очень понравилось быстро я подключение звучание и как бы чистота вообще звука и громко вот реально громко как бы вообще суперские за такую-то сумму вообще за копейки получается наушники хорошие,positive
"Вроде заряжают, подумала что приехали нормальные но в итоге нечего не подключаются, их даже нет при подключении и нечего не написано",negative
"Хороший звук, не выпадают из уха это очень важно, комфорт в ношении заказывала сыну заказала себе радиус использования не большой зарядку держат хорошо на неделю хватает",positive
"Если вы хотите идеальный звук и аирподцы до берите Выглядит прям как оригинал, звучание музыки идеальное, все функции работают. Немного задержали,чехол пришел грязным и с заусенцами и крышка чуть чуть скрепит",positive
"спустя время просто не производит звук, проверял на нескольких устройствах, заряжаются подключаются но просто звука нет на них, в воду не падал",negative
"Зарядил наушники один раз поработали минут 20 и все, заряжаю следующие разы вообще не включаю не подключаются не понятные какие то наушники честно",neutral
"вообщем, не советую  у одного наушника звук хуже чем у другого( звук разный), плохо подключаются, верхняя крышка кейса плохо магнитится к нижней, так же наушники, плохо магнитятся внутри кейса. еще есть ощущение что левый наушник сидит слабее чем правый. так еще и разряжаются быстро, и кейс тоже.",negative
"Не ведитесь не дешевею цену , покупайте у проверенных продавцов Карма она есть в место 400 руб 400 к потеряешь поверь моим словам Не включается, пытался зарядить с разными проводами Продавец просто отклоняет заявку на возврат НЕ РЕКОМЕНДУЮ ПРОДАВЦА ОБМАН",negative
"ожидала хорошие наушники, оказалось, что один наушник подключается под одним названием в блютузе, а второй под другим. Очень неудобно, а так звук хороший",negative
"Проблема была решена, продавец быстро вышел на связь и предложил полный возврат средств. Спасибо за отзывчивость и готовность идти навстречу покупателю.",positive
"Отличные наушники! Покупала в подарок, но имениннику не понравился дизайн. Написала продавцу с просьбой вернуть товар. Продавец оперативно ответил на мои сообщения и вошел в мое положение, быстро рассмотрел заявку на возврат и решил вопрос положительно! Огромное спасибо за понимание, очень приятна такая забота о клиентах. Рекомендую всем этого продавца 💯",positive
"Первые впечатления отличные 👍 упаковка, инструкция на русском, комплектация - все в порядке. Подключились сразу. Звук нравится. В ушах держится хорошо.",positive
"Получила наушники, при первом подключении они подключились к телефону, но один наушник не работал. Зарядила наушники в итоге даже к телефону не подключались. Потом отменила сопряжение, перезагрузила телефон и заново подключила их и вуаля они заработали. Отправила фото гарантийного талона",positive
"может есть какое нибудь приложение, что бы проверять процент заряда? очень неплохие наушники за свою стоимость. хороший звук, но не слишком глубокий. подключаются к телефону даже если просто открыть крышку кейса. слабые магниты в крышке, хотя держится нормально. очень чувствительные датчики касания на самом наушнике. поправляешь и оно нажимается сразу. не видно процент зарядки наушника и кейса. (при подключении на айфон. как на андройд не знаю)",positive
"Вызывают недоумение комментарии продавца. Ну скажите вы чтобы проверяли снята ли пленка защитная с наушников, зачем отправлять на диагностику платную и отфутболивать шаблонными ответами? Только благодаря отзыву к товару одного из покупателей поняла в чем проблема. Наушники рабочие, посмотрю как покажут себя.",neutral
"Наушники пришли нерабочие, отстояли пол дня на зарядке, лампочка горит, но как отключаешь от сети, все, мертвые. Продавец в возврате отказал, отправив на самостоятельную диагностику, разочарование и досада лишь от покупки!",negative
"Кейс хилинкий для наушников ну и наушники тоже чуть чуть хлипенькие , звук в наушниках глуховат чуть чуть, но потом привыкаешь и вполне нормально, но за свою цену это просто идеально поэтому советую к покупке .🥰",positive
"Получил товар в помятом виде но не критично, скорее всего это оплошность самой службы вайлберес. Качество звука могло быть и лучшее вполне все устраевает, теперь буду ждать насколько он хватит.",positive
"На самом деле наушники за свою цену просто афигеные! Думала опять брак, тк не горела красный когда заряжался, но звук просто бомба❤️ спасибо продавцу за реально качественный товар",positive
"1.Из ушей постоянно выпадают. Не то, что для спорта, даже просто по квартире в них ходить не очень. 2.Постоянно! отключаются. Приходится каждый раз самостоятельно ""конектить"" 3.Звук... И так было понятно, что можно ожидать за такую цену...? Итог: за стоимость -5. За качество ( особенно удобство) -1. Общая- тут простая математика... Лучше не экономить и взять другие.",neutral
"несмотря на цену, наушники очень даже порадовали! жалко не было зарядки в комплекте. у наушников хороший звук, заряжаются быстро, разряжаются медленно. в общем, всем советую!",positive
"наушники более менее, за такую цену, звук хороший НО очень хотелось бы спросить, почему наушники подключаются отдельно? играет либо один, либо другой, в зависимости от того какой подключится",neutral
"Отличные наушники, качество звука бомба, шумодав работает. Чехол оставляет желать лучшего, когда на стройке он забивается пылью, то верхня часть начинает произвольно отлепляться от кейса наушников.",positive
"Наушники отличные! Звук хороший, всё подключилось с первого раза Очень удобно, что в комплекте бесплатно идет чехол для кейса и кабель.",positive
"Отличные наушники! Ничем не отличить от оригинала. Анимация присутствует при сопряжении с телефоном. Звук отличный. Спасибо огромное продавцу, положил в подарок чехол для кейса☺️",positive
"хороший звук, внешне очень похожи на оригинал. раньше были аирподс про 2, для меня были неудобными, а в этих комфортно себя чувствую.",positive
"все хорошо когда забрала сначала не работал один наушник, но я в настройках накрутила и все стало хорошо работать, звук чистый, чехол и зарядка в наборе, за свои деньги нормально.",positive
"Быстрая доставка. Брала на подарок. На первый взгляд понравились, в подарок чехол и провод. Выглядят качественно. Но вчера при подключении появились хрипы, была памятка от продавца, вроде получилось исправить, но сегодня снова хрипы, треск на бассах. Подскажите, как исправить?",positive
"Хорошие наушники! Люблю аирподсы такой формы, для меня как нестареющая классика) звук хороший, на ухо не давят, шумопоглащение вполне нормальное, я довольна) и чехол в подарок, приятно))",positive
"Наушники очень нравятся. Не хочу заносить эплу 20к за то, что они додумались сделать наушники без амбушюр (терпеть их не могу) и вот этот товар прям спасение. Шумодав хороший, на зеленой ветке в мск работает крайне здорово. Единственное что силиконовый чехол в подарок немного слазит при открытии кейса, но я хочу купить плотный кейс, да и + это защитка в подарок, так что вообще нет жалоб. По управлению наушниками тоже все супер, помимо шумодава исправно работает переключение трека и изменение громкости (была приятно удивлена, думала такое только на прошках)",positive
"Вау! Очень приятная неожиданность за такие деньги:) Конечно, прежде чем заказывать, смотрел диапазон частот 20 - 20000...Ну что сказать: крутяк! Громкость, частоты (басы)... Всё на высоте. Единственное, что в упаковке пришёл кабель Type-C - Type-C, причём хороший. Но он мне ни к чему:))",positive
"Эти наушники — моё лучшее приобретение за последнее время! Звук невероятно чистый, объемный и с классными басами. Они очень удобно сидят в ушах, не выпадают при движении, а заряда хватает на несколько дней использования. Шумоподавление отлично спасает от внешнего шума в людных местах. Они моментально подключаются к телефону, а встроенный микрофон идеально передает голос при звонках. Также очень порадовал их стильный дизайн и компактный кейс, который легко помещается в любой карман. Однозначно рекомендую к покупке",positive
"Эти наушники — моё лучшее приобретение за последнее время! Звук невероятно чистый, объемный и с классными басами. Они очень удобно сидят в ушах, не выпадают при движении, а заряда хватает на несколько дней использования. Шумоподавление отлично спасает от внешнего шума в людных местах, однозначно рекомендую к покупке",positive
"наушники просто отличные, звук очень хороший и ничего не глючит и нету лишних шумов. Удобные, и быстро заряжаются. Заказывала себе и на подарок, очень понравились. Очень хорошие наушники а тем-более за свою цену! Рекомендую!",positive
"все понравилось за такую цену это просто бомба,звук хороший ну вот соглашусь что звук при открытии кейса,но это вообще не значительно, так так звук не очень громкий и буквально пару минут,но нужно это указывать на карточке товара",positive
"Пользуюсь этими наушниками уже некоторое время и очень доволен покупкой! Звук отличный, удобно сидят в ушах, подключение стабильное, батареи хватает надолго. Всё работает отлично, никаких нареканий нет. Покупкой полностью доволен, смело рекомендую!",positive
"Наушники просто отличные! Звук чистый и качественный, басы хорошие, громкости хватает. Удобно сидят в ушах, не давят и не выпадают. Заряд держат хорошо, подключение быстрое и стабильное. За свою цену — это отличный вариант, покупкой очень доволен 👍",positive
"хороший звук, за такую цену подарок судьбы, качественное звучание басов, четкий голос, хороший микрофон, собеседника слышно отлично, все понравилось, из ушей не выпадают",positive
"Шикарные наушники! Звук чистый, детализированный, хорошо передаются высокие частоты и басы. Хорошо держатся в ушах и не выпадают при активных движениях. Во время звонка собеседник отлично меня слышит. Наушники долго держат заряд. В общем, довольна всем!",positive
"Отличные наушники, комфортно сидят в ушах, не давят, законектились сразу, звук чистый, в комплекте зарядка, комплект насадок и стильный чехол",positive
"Не советую! Наушники пришли нормальные, прошло две недели не работает один наушник, заряжала всю ночь все равно ничего не работает. Зачем продавать за такую цену? Я могла бы и за 300 рублей купить на две недели 🤷‍♀️",negative
"шикарные за свои 340₽ съёмные амбушюры имеются и шнур длинный, выглядит как оригинал, надписи на кейсе и на наушниках тоже имеются)",positive
"Очень красиво и аккуратно упаковано. Выглядит дорого. Приятно открывать. Всё перечисленное в описании товара есть. Сначала не могла найти по блютуз. Зарядила и сразу нашлась. Громкие, чёткие звуки при воспроизведении музыки. Советую к покупке👍",positive
